3.207	0.966	-0.047	-0.124	-0.283	0.409	-1.882	-3.760	-7.582	4.655
-0.110	0.063	0.082	0.127	-0.463	-0.253	-3.869	1.167	1.980	0.466
3.671	-1.043	-1.647	1.070	-0.075	-0.255	-0.952	-4.132	-2.808	1.147
0.191	-1.138	1.178	0.303	-0.969	-0.123	3.220	1.246	0.807	-0.068
3.141	1.167	0.250	-0.368	-0.735	0.389	-0.325	-2.166	-2.377	-0.970
0.135	2.287	-0.250	-0.223	0.266	-0.698	0.358	0.676	-2.360	0.690
1.506	0.835	0.318	-0.297	0.767	-0.303	0.752	-2.584	-0.702	-1.052
1.034	1.042	-0.005	-0.597	-0.644	0.650	2.296	-1.360	1.274	-3.749
-0.478	0.606	-0.011	0.018	0.100	0.177	0.020	0.800	-1.110	1.600
0.511	4.176	0.194	0.703	0.766	0.583	-0.791	0.068	-1.205	-2.948
1.296	-1.301	0.693	0.135	0.951	0.092	-1.480	-2.407	-2.594	3.291
4.508	-3.597	0.155	-0.057	-0.541	0.097	-0.024	-3.513	-7.451	7.011
1.111	-0.714	-0.279	-0.317	-0.336	0.744	-0.062	-0.201	-2.202	2.233
1.550	2.341	-0.074	0.007	0.018	0.378	-1.101	-0.799	-2.387	0.223
-0.647	-1.072	-0.153	-0.194	-0.287	0.591	0.840	3.232	0.111	2.587
-0.462	-1.589	0.893	-1.010	0.855	-0.385	2.769	0.959	2.782	-1.028
0.879	-2.230	-0.050	-0.326	0.483	-0.563	0.348	-0.237	-1.115	3.026
0.997	1.510	-1.212	1.534	0.128	0.265	2.243	-2.358	2.387	-4.736
1.687	-1.250	-0.739	1.012	0.438	0.863	3.335	-1.997	2.933	-4.563
-0.367	1.998	0.489	1.355	0.735	0.516	-2.753	1.148	1.283	-1.199
-0.307	-2.111	-1.034	0.772	0.302	0.908	0.775	-0.264	3.460	-1.494
2.125	1.801	1.977	-0.293	-0.046	0.003	-1.581	-2.798	-2.926	0.192
2.532	2.445	1.166	-0.592	-0.925	0.221	-1.225	-1.871	-5.454	1.102
1.597	-1.963	-1.216	1.406	0.213	0.466	-0.364	-0.802	-1.658	2.781
2.635	3.797	0.021	1.905	0.303	0.300	0.023	-4.089	-5.154	-0.794
1.510	2.875	-0.255	-0.122	0.154	-0.680	2.270	-1.385	-2.063	-3.523
2.570	0.252	0.010	-0.023	-0.184	0.122	-0.434	-2.405	-1.437	-0.801
1.855	1.270	0.621	1.811	0.328	0.234	2.470	-2.042	-1.168	-2.787
0.792	-1.349	0.743	0.010	-0.966	-0.006	1.172	-0.361	-0.586	0.967
-2.138	0.918	0.003	0.009	0.113	0.078	0.281	4.451	3.403	-1.415
-0.122	0.297	-0.043	-0.190	-0.369	0.463	1.259	0.060	1.529	-1.539
1.271	1.187	-0.376	1.395	0.545	0.711	-2.055	0.964	-5.191	4.362
0.269	-0.061	-0.870	-1.354	0.380	-0.696	2.588	0.628	3.083	-2.767
-1.189	2.910	0.011	-0.075	-0.290	0.250	-1.766	0.878	-0.045	-0.761
3.127	-0.276	0.069	-1.802	0.429	-0.413	1.199	-4.168	-3.967	0.536
-0.663	-2.070	-0.216	0.185	0.242	0.656	-3.601	2.916	1.254	3.171
-0.766	-1.026	0.001	0.004	-0.072	-0.057	-1.617	3.110	0.912	2.001
0.397	-1.175	-0.935	-0.709	-0.314	0.933	-1.509	1.010	1.247	0.885
-0.888	-3.593	-0.058	-1.339	-0.650	0.679	-1.922	4.054	3.659	3.560
1.048	0.527	-0.982	-0.877	-0.338	0.886	2.162	-0.620	-0.074	-1.966
-0.521	-1.590	0.113	0.065	0.477	0.128	1.237	0.645	2.836	0.058
4.201	0.289	0.047	0.029	0.316	0.089	-4.590	-5.485	-2.143	-0.817
2.289	4.228	0.361	-0.220	0.786	-0.221	-1.079	-2.144	-0.938	-5.111
0.286	0.465	-0.410	-0.401	-0.341	0.838	0.740	0.234	1.175	-2.096
-0.641	1.332	0.012	-0.617	-0.660	0.647	2.064	0.772	4.746	-6.385
1.021	-0.737	0.538	-1.449	0.688	-0.478	1.904	-0.624	-0.195	-0.251
2.529	1.788	1.338	-0.378	-0.912	0.126	1.025	-4.075	-0.480	-4.468
-2.135	-1.787	1.546	0.928	0.573	0.159	0.847	4.794	1.269	3.102
-0.816	3.603	0.623	-0.485	-0.925	0.318	-3.297	2.137	3.858	-4.699
2.061	1.984	-0.067	1.952	-0.210	-0.217	-0.205	-0.529	-2.056	-0.837
0.393	1.530	-0.080	0.212	-0.361	-0.521	0.975	0.489	-2.601	0.478
-0.837	1.069	-0.031	0.167	-0.357	-0.428	-0.611	2.928	5.220	-4.538
4.722	1.355	-1.939	-0.457	0.014	-0.121	1.349	-4.842	-8.538	1.139
3.741	1.914	0.365	-0.054	-0.774	0.057	1.889	-7.235	-6.065	-0.618
-0.156	-0.315	-1.792	0.145	0.024	0.602	4.771	-0.202	3.151	-3.431
2.449	-0.000	1.877	-0.235	0.451	-0.028	-0.040	-1.167	-1.696	1.066
0.162	-0.235	0.761	-0.594	0.945	-0.325	-0.925	1.900	-4.311	5.692
0.476	-0.069	-0.624	1.703	-0.333	-0.476	4.565	-1.778	-0.724	-0.668
2.516	2.554	0.853	1.712	-0.347	-0.215	-1.126	-1.717	-3.779	0.143
-0.540	-3.729	-0.661	0.142	-0.100	-0.941	-0.675	3.554	2.079	3.489
-0.117	0.559	1.624	-0.570	0.683	-0.116	-0.158	0.356	3.432	-2.889
0.007	2.915	-0.190	-1.554	0.547	-0.617	0.027	2.598	0.571	-1.853
-2.703	-0.688	1.261	-0.280	-0.951	0.104	1.533	3.695	6.844	-3.434
-0.135	0.957	-0.384	-0.858	-0.543	0.838	-1.786	1.482	0.220	0.183
1.394	0.384	0.285	1.732	-0.499	-0.424	1.293	-0.220	-0.762	-1.585
-0.908	0.115	0.331	-0.188	0.759	-0.200	1.734	-0.361	3.669	-3.122
