0.895	-2.873	0.504
2.856	0.168	1.951
-0.576	-0.238	-0.437
-0.277	0.205	-0.218
3.494	-0.137	1.955
4.729	0.266	0.703
-1.989	-0.681	-1.655
0.363	-1.307	-0.163
-1.214	-1.693	0.725
0.274	-0.327	-0.241
1.638	-0.003	0.922
2.943	0.874	1.207
0.214	-0.743	2.954
-2.548	-1.960	-1.797
6.776	-2.272	1.940
3.635	1.136	0.910
1.350	1.591	1.166
0.978	-0.218	2.710
-0.867	-0.866	-0.013
-1.486	-0.278	-0.517
1.715	1.692	0.600
0.531	-0.744	3.180
-1.363	-1.514	0.522
3.915	-0.631	1.921
2.823	1.163	0.737
-0.736	-3.068	-2.536
0.739	-0.288	0.947
1.228	1.791	1.039
-1.888	0.479	-0.747
5.036	0.270	0.863
-0.420	-0.758	1.307
-0.712	-2.247	2.428
3.862	0.865	0.831
-1.191	-1.306	-0.462
2.445	0.630	1.403
-0.093	0.780	-0.442
0.611	-0.974	0.845
-1.356	-2.439	1.126
2.121	0.732	1.808
2.112	0.606	1.243
0.770	-2.475	4.301
-0.308	0.347	0.604
-1.494	-1.867	1.743
-0.146	2.197	0.314
2.546	1.040	1.217
-1.723	-0.313	-0.981
-0.654	1.701	1.612
5.828	0.262	0.234
-0.435	-0.803	-2.288
0.117	-0.698	0.629
1.554	2.092	-0.015
3.462	0.308	1.046
-1.107	1.939	1.750
-1.965	-0.507	-2.223
-0.797	2.050	-1.498
3.963	-0.454	1.890
4.474	-1.624	2.690
-2.562	-0.649	-2.027
-1.448	-1.804	1.189
3.498	0.600	0.851
-0.890	-1.902	1.077
-0.506	-0.925	1.268
-0.441	-1.244	0.967
3.676	0.737	1.170
-0.363	-0.552	0.005
-1.703	-1.745	-0.226
-2.061	-1.526	-0.590
0.858	-0.480	0.320
5.776	0.399	0.186
0.595	-0.039	3.260
0.978	-0.474	1.246
-1.815	0.369	0.718
3.130	0.967	0.828
0.241	2.311	2.132
-1.504	-0.876	-1.319
0.876	0.135	1.118
4.284	0.690	0.521
0.766	-1.646	5.142
1.762	-0.330	0.181
1.163	-2.473	-1.232
-1.220	-0.418	-1.119
-0.189	-1.051	1.946
3.501	-0.414	1.777
-0.446	-2.134	2.751
-0.609	0.349	0.122
-1.277	-1.622	0.408
