2.106	12.336	3.943	0.848	2.113	0.848	60.994
1.153	15.633	4.870	1.637	1.127	2.032	55.021
1.855	12.000	3.827	1.062	1.820	1.395	58.002
1.681	1.301	0.554	1.998	1.684	1.998	20.817
2.536	0.672	0.389	1.958	2.510	2.271	28.611
1.679	1.641	0.664	1.939	1.662	1.939	21.371
1.492	7.961	2.545	1.983	1.519	1.983	37.800
1.478	0.535	0.356	1.492	1.512	1.823	-107.387
1.734	13.309	4.118	0.660	1.762	1.288	58.328
1.729	4.988	1.661	1.911	1.687	1.911	7536.898
3.286	0.676	0.382	1.714	3.288	2.258	86.881
1.053	8.023	2.555	1.969	1.026	1.969	33.254
1.661	4.473	1.568	1.564	1.691	2.125	30.901
1.952	9.812	3.178	0.679	1.914	0.679	47.673
1.524	0.934	0.429	1.858	1.492	1.858	17.227
2.039	2.207	0.811	1.251	2.040	1.872	29.482
1.945	9.961	3.199	1.774	1.964	2.304	50.384
0.918	9.734	3.163	1.995	0.916	2.320	36.319
1.837	14.375	4.469	1.573	1.837	1.927	66.840
2.773	5.484	1.817	1.442	2.772	1.442	51.274
2.588	15.086	4.705	1.122	2.569	1.435	74.050
2.250	14.656	4.537	1.984	2.264	2.477	68.130
1.375	12.684	3.985	1.906	1.397	3.264	44.773
2.018	7.363	2.396	1.992	2.003	3.256	43.860
2.200	11.176	3.517	1.607	2.186	1.916	58.549
3.315	11.254	3.525	1.968	3.277	1.968	74.210
2.442	12.352	3.877	1.846	2.434	1.846	65.657
3.910	12.492	3.904	1.437	3.875	1.742	85.328
2.052	8.797	2.842	1.918	2.070	1.918	49.491
1.658	5.871	1.996	1.952	1.639	1.952	35.647
2.951	3.023	1.102	1.501	2.938	1.501	45.573
1.523	9.492	3.027	1.815	1.525	2.159	40.498
3.174	10.824	3.419	1.821	3.179	2.160	71.136
2.351	9.863	3.131	1.678	2.339	1.678	57.296
1.797	8.578	2.745	2.000	1.797	2.000	45.448
2.227	10.133	3.188	0.951	2.263	0.951	64.508
0.839	0.227	0.318	1.638	0.830	1.638	12.478
2.194	8.012	2.575	1.972	2.173	1.972	39.978
0.847	13.102	4.079	1.753	0.865	2.286	51.476
1.197	7.789	2.493	1.864	1.217	2.384	32.911
2.395	10.113	3.159	1.924	2.400	2.382	56.161
2.940	8.934	2.914	1.440	2.921	1.753	383.849
2.294	0.586	0.355	0.920	2.265	0.920	30.288
2.415	3.680	1.245	1.952	2.457	1.952	38.916
2.454	8.543	2.727	0.424	2.439	0.770	58.254
2.347	6.523	2.152	1.045	2.350	2.767	46.169
2.902	3.316	1.214	1.608	2.905	2.217	44.025
1.203	14.340	4.427	1.960	1.208	1.960	42.072
2.063	14.098	4.432	1.882	2.069	2.283	65.293
1.177	13.039	4.115	1.951	1.165	1.951	47.184
1.445	3.641	1.264	0.617	1.511	0.617	26.936
2.425	7.176	2.254	1.189	2.415	1.189	49.659
3.399	11.129	3.503	1.678	3.371	1.678	75.971
2.235	0.047	0.123	1.996	2.250	2.982	18.302
2.529	11.289	3.559	1.062	2.519	1.405	65.648
1.714	15.027	4.625	1.909	1.743	2.232	63.704
2.834	5.652	1.852	1.990	2.838	1.990	51.464
2.303	6.164	2.060	1.662	2.286	1.662	45.931
2.431	10.406	3.325	1.368	2.418	1.368	59.509
2.274	1.562	0.609	1.778	2.280	2.538	28.950
2.031	12.117	3.838	1.944	2.047	1.944	57.989
2.449	6.516	2.127	1.870	2.446	2.305	61.649
2.075	9.664	3.032	1.556	2.070	1.556	29.547
2.238	4.051	1.403	1.881	2.256	2.466	33.144
1.530	3.410	1.250	1.950	1.530	1.950	25.236
2.770	7.227	2.332	1.813	2.740	1.813	57.238
1.035	9.930	3.143	1.881	1.031	1.881	38.006
2.627	9.535	3.064	1.423	2.650	1.788	59.751
1.100	15.555	4.823	0.629	1.086	1.419	74.963
1.722	11.855	3.682	0.172	1.777	0.172	52.464
3.145	0.250	0.255	1.295	3.154	1.295	42.861
1.871	12.258	3.841	0.947	1.904	0.947	57.934
1.993	8.922	2.942	1.070	1.973	1.070	46.967
1.216	3.422	1.222	1.671	1.213	1.671	22.270
1.770	0.508	0.355	1.808	1.782	2.118	19.782
2.050	5.699	1.858	1.965	2.037	1.965	41.963
2.612	4.125	1.441	1.969	2.591	1.969	42.117
2.338	1.633	0.724	0.962	2.338	1.276	32.804
2.676	10.105	3.274	1.866	2.660	2.310	63.738
1.435	5.461	1.888	1.872	1.446	2.256	27.740
2.602	11.059	3.443	1.882	2.619	1.882	62.856
1.762	7.395	2.484	1.998	1.799	2.401	41.338
2.512	3.996	1.363	1.950	2.535	2.301	33.862
1.035	14.754	4.653	1.136	1.058	1.136	54.689
2.858	6.496	2.207	1.920	2.888	1.920	53.860
2.722	15.539	4.873	1.020	2.723	2.249	78.644
1.847	4.652	1.544	1.988	1.866	1.988	35.215
3.820	7.969	2.539	1.777	3.814	1.777	71.509
3.208	4.082	1.350	0.937	3.248	1.468	53.070
2.235	3.605	1.355	1.418	2.227	1.418	-1004.473
0.904	3.625	1.252	1.652	0.929	2.033	17.346
1.739	9.383	3.002	1.942	1.748	5.747	33.190
3.642	9.355	2.986	1.764	3.656	2.071	72.405
1.124	14.227	4.440	1.634	1.123	1.634	53.223
2.153	0.676	0.343	1.143	2.152	1.143	28.072
2.006	6.117	2.038	1.958	1.996	3.106	37.391
2.127	5.109	1.712	2.000	2.144	2.000	39.495
1.828	9.016	2.830	1.644	1.865	1.644	51.493
1.925	12.191	3.853	1.848	1.922	2.170	56.661
2.349	2.699	0.966	1.343	2.367	1.716	35.287
2.279	3.539	1.187	1.724	2.270	2.101	35.413
1.425	14.359	4.487	1.081	1.420	1.382	57.599
2.754	0.914	0.407	0.336	2.756	0.667	37.048
2.670	13.863	4.323	1.817	2.649	2.369	67.999
2.340	11.391	3.542	1.775	2.329	2.180	63.769
3.183	13.230	4.149	1.817	3.152	1.817	75.180
2.379	15.773	4.880	1.378	2.376	2.256	61.638
0.957	1.387	0.564	1.928	0.951	2.350	10.398
2.574	5.148	1.810	1.995	2.550	2.346	46.265
2.923	14.750	4.667	1.889	2.911	1.889	73.890
2.130	15.430	4.887	1.924	2.110	1.924	70.584
2.857	7.754	2.506	1.997	2.896	2.332	18.818
2.568	10.551	3.407	0.718	2.569	1.034	63.058
2.323	8.047	2.570	1.745	2.311	2.170	51.121
1.948	3.879	1.304	1.933	1.959	2.296	42.442
2.667	8.750	2.773	0.775	2.644	0.775	59.270
1.941	7.105	2.366	1.933	1.988	2.235	37.544
1.355	0.645	0.334	1.582	1.353	1.582	17.317
2.945	5.617	1.896	1.805	2.961	1.805	52.910
1.591	11.477	3.584	1.405	1.593	1.405	83.117
1.989	11.879	3.712	1.262	2.000	1.976	57.752
0.934	1.383	0.548	1.983	0.925	2.340	11.351
1.468	2.602	0.952	1.511	1.470	3.093	20.159
2.140	9.547	3.020	1.591	2.138	2.242	50.893
2.170	11.016	3.492	1.993	2.138	1.993	54.372
3.588	15.117	4.730	1.987	3.595	1.987	89.424
2.271	5.309	1.796	1.263	2.247	1.594	41.646
1.936	3.434	1.218	2.000	1.949	2.738	50.486
1.646	4.961	1.684	2.000	1.622	2.374	30.192
3.282	13.164	4.145	1.589	3.239	1.980	80.142
1.405	1.605	0.630	1.878	1.421	1.878	17.424
2.560	6.805	2.252	1.507	2.557	2.594	49.324
2.577	5.242	1.885	1.980	2.572	2.557	44.330
2.635	8.691	2.748	1.842	2.674	2.184	59.558
2.012	4.902	1.611	1.922	1.991	3.840	57.384
1.377	11.887	3.714	1.812	1.364	1.812	47.705
2.772	10.805	3.452	1.896	2.786	1.896	64.057
2.350	12.332	3.871	1.997	2.358	1.997	71.916
1.729	14.586	4.540	1.757	1.719	1.757	61.772
1.706	6.152	2.057	1.896	1.697	2.464	26.440
1.841	5.480	1.839	1.984	1.864	2.309	38.324
2.866	15.797	4.927	2.000	2.894	2.000	75.529
2.529	15.742	4.855	1.918	2.573	2.254	76.010
1.654	14.113	4.398	1.913	1.632	1.913	56.757
1.470	10.656	3.330	1.598	1.453	2.046	45.914
2.297	14.820	4.641	1.951	2.260	1.951	71.870
2.294	9.746	3.064	1.997	2.291	1.997	53.627
1.638	12.066	3.846	1.955	1.642	1.955	53.373
1.858	15.035	4.690	2.000	1.859	2.491	74.761
1.569	10.211	3.243	1.577	1.552	1.914	44.849
2.693	4.574	1.544	1.336	2.665	1.813	45.086
2.125	15.789	4.916	1.914	2.171	2.359	72.004
2.197	15.914	4.954	1.966	2.201	1.966	82.588
3.477	1.512	0.641	1.974	3.473	1.974	48.981
1.656	15.629	4.915	0.269	1.644	0.635	63.754
2.433	13.324	4.216	1.297	2.462	2.057	76.599
2.346	10.586	3.332	1.818	2.379	1.818	60.148
1.576	2.145	0.776	1.974	1.581	2.499	20.281
2.567	7.250	2.347	0.867	2.559	1.198	54.076
1.999	11.762	3.638	1.855	1.987	1.855	58.252
2.956	3.738	1.239	1.954	2.928	1.954	46.102
1.931	8.980	2.897	0.304	1.921	0.304	49.153
1.839	2.082	0.843	1.993	1.835	2.654	25.200
2.498	12.902	4.082	1.051	2.486	1.388	67.102
2.906	2.605	0.969	1.822	2.913	2.456	42.993
1.517	12.422	3.906	1.045	1.503	1.414	52.227
2.307	11.000	3.425	1.477	2.327	1.931	61.564
2.609	9.285	3.004	1.941	2.612	2.337	61.882
2.147	12.797	3.956	1.999	2.200	2.344	63.567
2.799	12.527	3.930	1.544	2.810	2.035	81.431
2.520	3.840	1.339	1.507	2.522	1.507	42.056
2.181	8.230	2.641	2.000	2.170	2.000	47.870
2.041	6.402	2.124	1.847	2.036	2.159	42.012
1.900	7.629	2.406	1.821	1.884	2.927	41.387
2.186	10.691	3.403	1.921	2.183	2.460	54.650
2.598	3.840	1.300	1.700	2.574	1.700	40.675
3.082	11.441	3.542	1.953	3.114	2.428	71.778
1.632	14.688	4.547	1.492	1.656	1.879	62.712
1.107	5.809	1.891	1.872	1.114	1.872	25.071
1.219	7.832	2.482	1.997	1.230	2.476	32.934
2.209	9.902	3.111	0.885	2.202	1.371	53.922
1.829	0.742	0.379	1.089	1.809	1.089	25.200
2.369	0.758	0.352	1.924	2.422	2.297	28.230
1.709	2.078	0.780	1.770	1.711	2.387	3.320
1.830	6.223	2.093	1.511	1.845	1.511	39.224
3.205	6.086	2.029	1.787	3.178	3.850	48.987
