1.738	1.819	10.527	0.188	2.250	28.553
1.482	1.029	3.008	0.203	3.734	34.411
1.875	1.585	5.816	0.188	3.185	32.856
1.883	1.143	7.902	0.180	1.576	29.949
1.179	1.146	1.047	0.070	3.063	38.648
1.976	1.028	0.438	0.102	2.720	39.417
1.734	1.123	5.227	0.156	1.646	33.788
1.987	1.119	2.812	0.180	3.973	35.396
1.802	1.698	14.301	0.133	2.905	21.711
1.622	1.119	9.328	0.133	4.112	25.286
1.823	1.507	15.305	0.094	2.532	21.385
1.434	1.049	6.039	0.133	4.523	30.653
1.464	3.128	10.461	0.156	3.316	37.979
0.963	1.042	0.234	0.164	2.173	40.305
1.641	4.926	2.852	0.188	1.894	70.451
1.762	1.201	13.793	0.180	3.173	20.836
0.798	1.201	11.219	0.180	2.934	24.576
1.999	1.011	9.879	0.141	2.508	26.692
1.969	1.893	3.836	0.141	3.414	37.782
1.796	1.181	15.383	0.133	1.840	19.902
1.229	2.218	3.852	0.188	1.867	41.042
1.407	1.220	4.703	0.141	2.704	33.885
1.986	1.762	11.363	0.188	2.791	26.602
1.326	1.508	0.922	0.164	2.192	40.893
1.947	1.051	2.473	0.133	1.804	36.948
1.980	1.850	12.027	0.109	2.452	26.159
1.943	2.243	10.871	0.133	3.236	30.077
1.790	1.171	9.688	0.172	3.162	25.842
1.192	1.021	0.957	0.086	2.282	36.683
1.714	1.031	12.301	0.148	1.462	23.633
0.639	1.214	4.785	0.086	2.079	36.217
1.978	1.013	10.316	0.148	2.851	24.959
1.996	1.666	8.094	0.148	2.742	30.866
1.654	1.233	5.688	0.156	2.385	34.852
1.981	1.458	8.855	0.234	1.694	31.017
1.199	1.020	11.340	0.211	3.567	23.665
1.585	1.076	2.797	0.070	2.825	34.555
1.974	1.060	6.750	0.148	3.792	28.933
1.915	1.065	6.504	0.109	5.147	29.291
2.000	1.500	11.797	0.133	3.751	25.069
1.912	2.680	13.004	0.180	0.580	32.107
1.679	1.236	10.430	0.195	4.766	23.459
0.313	1.013	3.977	0.141	3.218	35.703
1.355	1.430	7.320	0.133	2.752	31.044
1.598	1.624	3.520	0.164	2.544	37.317
0.485	1.248	15.320	0.172	2.060	20.375
0.818	1.086	3.090	0.156	2.712	36.448
1.951	1.288	5.277	0.180	1.886	32.005
0.603	1.953	4.926	0.109	4.439	37.297
1.530	1.114	10.797	0.148	2.801	24.704
1.963	1.423	1.555	0.266	1.871	42.207
1.844	1.361	15.324	0.203	3.636	17.280
1.985	2.584	7.859	0.188	4.456	36.520
1.637	1.051	11.207	0.172	2.468	23.828
1.314	1.081	3.320	0.133	1.541	36.439
